Gender,Age,Annual Income (k$),Spending Score (1-100)
Female,0.5961538461538463,0.319672131147541,0.4183673469387755
Male,0.7500000000000001,0.319672131147541,0.510204081632653
Male,0.3846153846153847,0.319672131147541,0.5510204081632653
Male,0.9423076923076924,0.319672131147541,0.4081632653061224
Female,0.5384615384615385,0.319672131147541,0.43877551020408156
Female,0.05769230769230771,0.319672131147541,0.5714285714285714
Male,0.576923076923077,0.319672131147541,0.4591836734693877
Female,0.7115384615384616,0.3442622950819672,0.5816326530612245
Female,0.07692307692307698,0.3442622950819672,0.5510204081632653
Female,0.3076923076923077,0.3524590163934426,0.6020408163265305
Female,0.6153846153846154,0.3524590163934426,0.4591836734693877
Female,0.9615384615384616,0.36065573770491804,0.5510204081632653
Male,0.0,0.36065573770491804,0.4081632653061224
Male,0.576923076923077,0.36885245901639346,0.48979591836734687
Female,0.42307692307692313,0.36885245901639346,0.39795918367346933
Female,0.2692307692307693,0.36885245901639346,0.4183673469387755
Male,0.11538461538461542,0.36885245901639346,0.520408163265306
Female,0.5576923076923077,0.36885245901639346,0.4693877551020408
Female,0.17307692307692313,0.36885245901639346,0.5
Male,0.576923076923077,0.3770491803278688,0.4183673469387755
Male,0.03846153846153849,0.3770491803278688,0.48979591836734687
Female,0.0961538461538462,0.38524590163934425,0.4081632653061224
Female,0.5961538461538463,0.38524590163934425,0.47959183673469385
Male,0.9423076923076924,0.38524590163934425,0.5918367346938775
Male,0.15384615384615385,0.38524590163934425,0.5510204081632653
Male,0.5961538461538463,0.38524590163934425,0.5612244897959183
Female,0.05769230769230771,0.38524590163934425,0.4183673469387755
Female,0.9230769230769232,0.39344262295081966,0.5
Male,0.6923076923076924,0.39344262295081966,0.4591836734693877
Male,0.9615384615384616,0.39344262295081966,0.42857142857142855
Male,0.9230769230769232,0.39344262295081966,0.47959183673469385
Male,0.9038461538461539,0.39344262295081966,0.520408163265306
Female,0.019230769230769273,0.39344262295081966,0.5408163265306122
Female,0.3846153846153847,0.4016393442622951,0.4183673469387755
Male,0.019230769230769273,0.4016393442622951,0.4591836734693877
Female,0.0,0.4098360655737705,0.47959183673469385
Female,0.019230769230769273,0.4098360655737705,0.5
Female,0.8653846153846155,0.4098360655737705,0.42857142857142855
Female,0.5961538461538463,0.4098360655737705,0.5918367346938775
Female,0.6346153846153847,0.42622950819672134,0.42857142857142855
Female,0.6153846153846154,0.42622950819672134,0.5714285714285714
Male,0.17307692307692313,0.42622950819672134,0.5612244897959183
Female,0.3846153846153847,0.42622950819672134,0.39795918367346933
Female,0.42307692307692313,0.4426229508196722,0.5816326530612245
Male,0.40384615384615385,0.4426229508196722,0.9183673469387754
Female,0.0961538461538462,0.4508196721311476,0.2857142857142857
Female,0.25,0.4508196721311476,0.7755102040816326
Male,0.48076923076923084,0.4590163934426229,0.346938775510204
Male,0.42307692307692313,0.4590163934426229,0.9591836734693877
Male,0.7884615384615384,0.4590163934426229,0.1020408163265306
Male,0.3846153846153847,0.4590163934426229,0.7551020408163265
Male,0.5576923076923077,0.4590163934426229,0.08163265306122448
Male,0.40384615384615385,0.4590163934426229,0.7551020408163265
Female,0.13461538461538464,0.4672131147540983,0.336734693877551
Female,0.25,0.4672131147540983,0.7142857142857142
Male,0.03846153846153849,0.47540983606557374,0.04081632653061224
Female,0.21153846153846156,0.47540983606557374,0.8877551020408162
Female,0.5000000000000001,0.47540983606557374,0.061224489795918366
Male,0.2692307692307693,0.47540983606557374,0.7346938775510203
Male,0.019230769230769273,0.48360655737704916,0.09183673469387754
Female,0.326923076923077,0.48360655737704916,0.7244897959183673
Female,0.7500000000000001,0.4918032786885246,0.04081632653061224
Male,0.2692307692307693,0.4918032786885246,0.9387755102040816
Female,0.1923076923076924,0.5,0.39795918367346933
Female,0.2692307692307693,0.5,0.8775510204081631
Male,0.13461538461538464,0.5081967213114754,0.11224489795918367
Male,0.1923076923076924,0.5081967213114754,0.9795918367346937
Male,0.576923076923077,0.5081967213114754,0.3571428571428571
Female,0.2692307692307693,0.5081967213114754,0.7448979591836734
Female,0.3076923076923077,0.5163934426229508,0.21428571428571425
Male,0.3076923076923077,0.5163934426229508,0.9081632653061223
Male,0.48076923076923084,0.5163934426229508,0.16326530612244897
Male,0.40384615384615385,0.5163934426229508,0.8877551020408162
Female,0.5000000000000001,0.5163934426229508,0.19387755102040813
Female,0.3846153846153847,0.5163934426229508,0.7653061224489796
Female,0.5576923076923077,0.5163934426229508,0.1530612244897959
Female,0.17307692307692313,0.5163934426229508,0.8979591836734693
Male,0.3653846153846154,0.5163934426229508,0.0
Female,0.23076923076923084,0.5163934426229508,0.7857142857142856
Male,0.3076923076923077,0.5163934426229508,0.0
Female,0.23076923076923084,0.5163934426229508,0.7346938775510203
Female,0.730769230769231,0.5245901639344263,0.346938775510204
Female,0.21153846153846156,0.5245901639344263,0.836734693877551
Male,0.019230769230769273,0.5409836065573771,0.04081632653061224
Female,0.25,0.5409836065573771,0.9387755102040816
Male,0.6153846153846154,0.5737704918032787,0.2551020408163265
Female,0.34615384615384615,0.5737704918032787,0.7551020408163265
Male,0.46153846153846156,0.5819672131147541,0.19387755102040813
Female,0.28846153846153855,0.5819672131147541,0.9591836734693877
Female,0.34615384615384615,0.5901639344262295,0.26530612244897955
Male,0.2692307692307693,0.5901639344262295,0.6326530612244897
Male,0.42307692307692313,0.5901639344262295,0.12244897959183672
Male,0.1923076923076924,0.5901639344262295,0.7551020408163265
Male,0.34615384615384615,0.5901639344262295,0.09183673469387754
Male,0.34615384615384615,0.5901639344262295,0.9285714285714285
Female,0.6538461538461539,0.5983606557377049,0.12244897959183672
Female,0.23076923076923084,0.5983606557377049,0.8673469387755102
Male,0.7692307692307693,0.5983606557377049,0.14285714285714282
Male,0.17307692307692313,0.5983606557377049,0.693877551020408
Male,0.7884615384615384,0.639344262295082,0.13265306122448978
Male,0.326923076923077,0.639344262295082,0.9081632653061223
Female,0.3653846153846154,0.6721311475409836,0.31632653061224486
Female,0.2692307692307693,0.6721311475409836,0.8673469387755102
Male,0.5384615384615385,0.680327868852459,0.14285714285714282
Female,0.21153846153846156,0.680327868852459,0.8877551020408162
Female,0.4423076923076924,0.6885245901639344,0.38775510204081626
Male,0.23076923076923084,0.6885245901639344,0.9795918367346937
Female,0.6923076923076924,0.7049180327868853,0.2346938775510204
Male,0.1923076923076924,0.7049180327868853,0.6836734693877551
Female,0.4423076923076924,0.7213114754098361,0.16326530612244897
Female,0.34615384615384615,0.7213114754098361,0.8571428571428571
Female,0.3076923076923077,0.7213114754098361,0.22448979591836732
Female,0.2692307692307693,0.7213114754098361,0.693877551020408
Male,0.28846153846153855,0.8032786885245902,0.07142857142857142
Female,0.3846153846153847,0.8032786885245902,0.9183673469387754
Female,0.5576923076923077,0.8606557377049181,0.1530612244897959
Female,0.326923076923077,0.8606557377049181,0.7959183673469387
Female,0.5192307692307693,0.9098360655737705,0.2755102040816326
Male,0.2692307692307693,0.9098360655737705,0.7448979591836734
Male,0.2692307692307693,1.0,0.173469387755102
Male,0.23076923076923084,1.0,0.836734693877551
